product,avg_sentiment,avg_rating,rating_count,avg_doRecommend,sample_feedback,rank,categories
Retail Brand Brand Name Paperwhite Ebook Reader 4 Gb 6 Monochrome Paperwhite Touchscreen Wi Fi Black,0.9931693989071039,4.771857923497268,2928,0.9812158469945356,ExcellentI was looking for a reader that was light enough to hold With one hand and this one is perfect.,13876.562841530054,['office electronics']
Electronics Brand Product Name Tablet A 10 1 Tablet 8 Hd Display Wi Fi 16 Gb Includes Special Offers Magenta,0.9623312011371713,4.5867093105899075,2814,0.9630419331911869,brand nameThis product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,12420.80881307747,['electronics']
Retail Brand Xyz Brand Tv Retail Brand Xyz Brand Tv,0.9762470308788599,4.650039588281868,2526,0.9592240696753761,"Echo blackEcho is learning everyday and its uses daily, the fact that's it Bluetooth is awesome.",11466.997624703086,['stereos']
Electonics Brand Home Electonics Brand Home,0.9857142857142858,4.693333333333333,2100,0.9642857142857143,Love Alexa.Like talking to a human! Can find an answer for most subjects as long as the internet is available. Fairly accurate also.,9715.2,['stereos']
Brand Name Voyage E Reader 6 High Resolution Display 300 Ppi With Adaptive Built In Light Pagepress Sensors Wi Fi Includes Special Offers,0.9939759036144579,4.716867469879518,332,0.9728915662650602,"Great product!This was a gift for my wife, she had a previous version, and she loved the upgrade to tjis new version.",1556.566265060241,['office electronics']
Retail Brand Tap Portable Bluetooth And Wi Fi Speaker Black Retail Brand Tap Portable Bluetooth And Wi Fi Speaker Black,0.9810725552050473,4.728706624605678,317,0.9747634069400631,Sorry I Did Not Buy It SoonerI love it. So easy to set up. Works with all my Target apps like Audible. Learning something new about it every day. Especially like using it for music. Totally happy with the item and purchase!,1470.627760252366,['stereos']
All New Pocketbook Touch Hd 3 E Reader Black 6 Glare Free Touchscreen Display Wi Fi Includes Special Offers,0.9339622641509434,4.429245283018868,212,0.8490566037735849,"Works good but, you can purchase a charger with same ...Works good but, you can purchase a charger with same or better specs. on Target MUCH cheaper. I purchased a 5 port 30 watt charger for about 1/2 of the cost of this.",876.9905660377358,['accessories']
Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,0.9042553191489362,4.452127659574468,188,0.8670212765957447,Super qualityBought to use with brand name. Works fine! Good quality and charges the brand name quickly.,756.8617021276596,['accessories']
Retail Brand Xyz Brand Hd 8 8In Tablet 16Gb Black B018Szt3Bk 6Th Gen 2016 Android Retail Brand Xyz Brand Hd 8 8In Tablet 16Gb Black B018Szt3Bk 6Th Gen 2016 Android,1.0,4.7388059701492535,134,0.9850746268656716,Love my brand name VoyageI am very please with my brand name Voyage. The size is perfect and the control lighting is exactly what I was looking for. Would recommend this to anyone.,635.0,['office electronics']
Brand Name Oasis E Reader With Leather Charging Cover Merlot 6 High Resolution Display 300 Ppi Wi Fi Includes Special Offers,0.9701492537313433,4.611940298507463,67,0.9402985074626866,Works GreatVery lightweight and portable with excellent battery life.,299.7761194029851,['ereaders']
