product,avg_sentiment,avg_rating,rating_count,avg_doRecommend,sample_feedback,rank,categories
Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black Xyz Brand Hd 8 Tablet With Alexa 8 Hd Display 16 Gb Tangerine With Special Offers,0.0,3.0,1,0.0,To many adsIts ok for the price if willing to deal with the ads and cant download certain apps.,0.0,"['computers & tablets', 'tech toys', 'media']"
Retail Brand Brand Name Lighted Leather Cover Retail Brand Brand Name Lighted Leather Cover,1.0,3.0,1,0.0,"A Step Down In QualityI owned a brand name Keyboard for about a year, and I purchased the leather lighted case for that unit. While the corner light left a little to be desired as far as even lighting, overall I was very pleased with the case. Based on that experience, I went ahead and purchased the lighted cover for my new brand name. I can't say this experience has as been as positive.Let's start off with what's good about the case. The brand name battery powered light is a big improvement. The light is now centered on the screen, so illumination is more even now. I don't use the light often, but in the cases where I do it will be nice to have more balanced coverage. One positive on the case itself is that I appreciate how much lighter this one feels than the previous generation. The hinge area is smaller, which means less of the spine folding effect the other one took on after heavy use. I never took my brand name Keyboard out of the case after it was put in, so the snug fit I have seen complaints about is not an issue for me. It IS tight, though, so if you don't plan to keep the case on full time be aware it may take some effort to get it back out. In my situation, that tight fit is exactly what I want, but your mileage may vary.Now on to the negatives. The case does feel very cheap, especially with no change in price point. The previous cover felt like a solidly made piece of work, whereas the new cover only feels half as sturdy. The thinness of the case was no doubt done to minimize its weight, so I realize this is a personal issue. Outside the thickness, though, it just doesn't look or feel as well made. The textured surface of the previous model you that leather feel, very much like a real book. Finally, the most stunning oversight is the lack of a closure device.Read more",3.0,"['accessories', 'ereaders']"
Electonics Brand Home Xyz Brand Tablet 7 Display Wi Fi 8 Gb Includes Special Offers Tangerine,1.0,4.0,1,1.0,"Pretty coolI've not yet learned - or taught - Alexa but it does perform a few functions that saves time or adds interest to my life. If there is a link to the skills or learning, I missed it. I think it could totally rock if that were available. I'm quite sure I'm not using it to its full capacity.",4.0,"['home security', 'wireless speakers', 'smart home', 'retail', 'tvs & electronics', 'kitchen & dining features', 'audio', 'home & furniture clearance', 'ipod', 'electronics features', 'garage & office', 'home', 'home automation', 'remote controls', 'stereos', 'smart hubs', 'home improvement', 'surveillance', 'consumer electronics', 'holiday shop']"
Retail Brand Brand Name Lighted Leather Cover Brand Name Keyboard,1.0,4.0,1,1.0,"High Quality Case For Your brand nameI purchased this brand name case in the Saddle Tan color. The leather is high quality (it has that wonderful new smell as well) and has beautiful stitching around the border on the front. The case does not add any bulk to the brand name. I find it quite comfortable to hold in one hand or two, as the front cover folds behind the case, and I truly feel like I am holding an actual book while reading.At the top of the case, there is a plastic arm that pulls upward to reveal a light, which illuminates the screen of the brand name perfectly in a dark room. My eyes have no trouble reading with the light activated. The light is powered by the brand name itself, by way of two metal prongs inside the case making contact with two metal tabs on the lower back of the brand name. The arm for the light does seem a bit delicate, and I could see a young child inadvertently breaking this if care is not shown. I fear that over time, this will be the first piece to stop functioning as the case is regularly used.My only criticism of this case is that there is no way to secure the front cover from opening. It would have been nice to include a clasp, or some kind of stretchable band to keep the case closed. I paid 54 for this case, which is almost as expensive as the brand name itself. At that price, the designers should have had the forethought to include a means of securing the case from opening. Aside from this potential problem, this brand name case is perfect, and adds a bit of sophistication to an already awesome device.Kudos, Target!",4.0,"['accessories', 'ereaders']"
Retail Brand Brand Name Lighted Leather Cover,1.0,4.0,1,1.0,"Lightweight, good viewing area. 1,Finally received the brand name Lighted Leather Cover for the newest version brand name. It is VERY lightweight and I had to double and triple check the description considering it states this is a leather cover. The front cover is very thin with a medium-weight cardboard feel to it. The leather on the front cover is extremely thin and you can immediately tell the surface will be easily scratched and marred with normal everyday use. The inside of the front cover has a thin microfiber material to protect the screen. The back cover is hollowed out plastic to form-fit your brand name and snaps in with relative ease.Using the enclosed graphic instruction card, I removed the brand name as shown, having to use just enough pressure to make me a bit concerned for someone who would place and remove their brand name in this cover frequently. However, I plan on using this cover as a full-time solution for both protection and as a light source.I went ahead and pulled up a book and switched the light on, heading to a closet to see how this looked in complete darkness. The light pulls out of the back cover and is nice and stiff and has a locked full-out position. The spread of the light is greater on top obviously but it does reach the entire screen on the brand name. There was no glare or reflection and I was able to easily read the page without any noticeable straining.If I were to choose between this design and the brand name Keyboard lighted cover, which I have used since its release, I would choose this newer cover.Read more",4.0,"['accessories', 'ereaders']"
Retail Brand Echo And Xyz Brand Tv Power Adapter,1.0,4.0,1,1.0,"Great first e-readerThis is the first e-reader I've gotten and I LOVE it! In general, brand names are awesome because there is a bunch of free material you can download on Target that you can just carry around with you. The page turning function is a little weird to get used to but you can also swipe if you don't like the sensors on the side. When you turn off the brand name there is a screen saver that is typically some kind of ad, which is kind of annoying, but it's not really worth it to pay to have the ads taken off. Again, just something to get used to. It's really easy to navigate, you can even highlight and take notes. I don't really now too much about other e-readers or brand names but I'm really happy I bought this and I'd recommend it to anyone!",4.0,"['tablets', 'electronics', 'computers & tablets']"
Retail Brand Xyz Brand 16Gb 5Th Gen 2015 Release Black,1.0,4.0,1,1.0,"bought this because it was a replacement.I love my brand name Voyage, however it does not have a speaker for audio books. and changes settings ie. remaining time/pages left in book on it's own.",4.0,['office electronics']
Certified Refurbished Electronics Brand Tv Stick Previous Generation 1St Certified Refurbished Electronics Brand Tv Stick Previous Generation 1St,1.0,5.0,1,1.0,Was a giftBought this for my cousins and he absolutely loves it.,5.0,['office electronics']
New Retail Brand Brand Name Xyz Brand Hd 9W Powerfast Adapter Charger Micro Usb Angle Cable,1.0,5.0,1,1.0,Cool toyCool product. Target does a cool job with it. Great audio quality and like the Philips Hue integration.,5.0,"['home automation', 'holiday shop', 'smart hubs', 'home improvement', 'surveillance', 'consumer electronics', 'home & furniture clearance']"
Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black,1.0,5.0,1,1.0,Great valueCan't beat a tablet for $50 that actually works!!!,5.0,"['tech toys', 'media', 'computers & tablets', 'tablets']"
Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb,1.0,5.0,1,1.0,"Great eReaderWhat is there to say, but that I love it. Functions well, and lasts a long time.",5.0,"['used:computers accessories', 'used:tablets', 'computers']"
Retail Brand Xyz Brand Tv,1.0,5.0,1,1.0,"Echo whiteEcho is learning everyday and its uses daily, i use it in place of a speaker and connect my phone to it.",5.0,"['wireless speakers', 'smart home', 'retail', 'tvs & electronics', 'surveillance', 'home improvement', 'home', 'consumer electronics', 'home & furniture clearance', 'ipod', 'electronics features', 'garage & office', 'holiday shop', 'smart hubs']"
Retail Brand Xyz Brand Hd 8 8In Tablet 16Gb Black B018Szt3Bk 6Th Gen 2016 Android,1.0,5.0,1,1.0,"Great brand nameA bit pricey, but worth the money in my opinion. Perfect size and great screen!",5.0,"['electronics', 'tablets', 'office electronics']"
Retail Brand Tap Portable Bluetooth And Wi Fi Speaker Black,1.0,5.0,1,1.0,"Great, Love It!I love this so much, I bought two! Also bought one for my parents. It is really easy to start up. Walks you right through the install process. I highly recommend.",5.0,"['kitchen & dining features', 'home automation', 'home', 'garage & office', 'stereos', 'remote controls', 'audio', 'home security', 'electronics', 'retail', 'smart home', 'wireless speakers']"
Coconut Water Red Tea 16 5 Oz Pack Of 12 Electronics Brand Tv,1.0,5.0,1,1.0,AwesomeEven better than the Echo Dot. It has a fantastic speaker!,5.0,"['kitchen & dining features', 'audio', 'remote controls', 'stereos', 'ipod', 'electronics features']"
Certified Refurbished Electronics Brand Tv Previous Generation 1St,1.0,5.0,1,1.0,Good purchaseI purchased for me nephew and I must say it's an awesome buy for a kid. The price is good. Picture quality is good.,5.0,"['media', 'tech toys']"
Retail Brand Xyz Brand Tv Brand Name Dx Leather Cover Black Fits 9 7 Display Latest And 2Nd Generation Brand Name Dxs,1.0,5.0,1,1.0,"Remarkable DeviceThe retail brand Echo is an essential piece of technology to achieve the complete ""SmartHome"" experience. Two thumbs up!",5.0,"['home security', 'tvs & electronics']"
Electonics Brand Home,0.875,3.125,8,0.5,"Purchase a new one, stay away from the refurbished XYZ brand tv.Stay away from the certified refurbished Target XYZ brand TV. I received two Certified Refurbished defective XYZ brand TVs. The first the screen looked half corrupted, see the pictures. The second Certified Refurbished Target XYZ brand tv I received would not boot up, it was stuck in an infinite loop where I would only see the Target logo for 10 seconds then it would boot up again.If anything, Target needs to re-visit its refurbishment process and quality control of the refurbished products they let get in consumer hands.Update 11/28/16: I purchased a new XYZ brand TV during the BF sale and I have had no issues so far :).",21.875,['streaming media players']
Xyz Brand Tablet 7 Display Wi Fi 8 Gb Includes Special Offers Black,1.0,4.833333333333333,6,1.0,"greatMy 3 yr old has already figured it all out. User friendly and durable with the case. Lots of free content, keeps them busy when need be.",29.0,['computers']
Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,1.0,5.0,6,1.0,"Works great with one critical flaw. (significantly improved)Having received my XYZ brand TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Target app and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installation of games and apps goes very smoothly and generally pretty quickly.The remote works very well. I haven't played with the voice search feature much yet, but when I have tried it, it worked well. The buttons on the remote are well thought out and I prefer it to the electronics brand TV remote.I only have one gripe. As far as I can tell, there's no way to limit the list of movies and tv shows to what is available for Target app members. This makes it very inconvenient to find things that are free to watch. There are some categories that are limited to app (Most Popular on app, For Kids on app) I want to be able to just see what's available for app or at least be able to see by category what's available for app. I'm sure this isn't an oversight. I suspect Target wants to force us to look at everything and be tempted to buy/rent things but if they really want to compete with movie app, they'll understand that we pay for our app membership to be able to watch free movies conveniently. A workaround is to do your searching on the web and then search specifically on the device.Perhaps I just haven't found the way to search for app available content. I hope that's the case or I will really be disappointed.Read more",30.0,['streaming media players']
Xyz Brand Hd 8 Tablet With Alexa 8 Hd Display 32 Gb Tangerine With Special Offers,1.0,4.833333333333333,12,1.0,"Easy readerBought this for my wife. She is a constant reader and put away her previous brand names for this one. She now has internet access also, so she can find more books anytime she wants.",58.0,"['computers', 'computer components', 'hard drives & storage']"
Electronics Brand Product Name Tablet A 10 1 Tablet 8 Hd Display Wi Fi 32 Gb Includes Special Offers Magenta,0.9863013698630136,4.568493150684931,146,0.952054794520548,It was everything I was looking for.Through all of my research this was the best value for what I was looking for in an e-reader with additional options I was not sure I would use or not. Turns I do because of the ease of usage.,657.8630136986301,"['computer components', 'hard drives & storage']"
Xyz Brand Tablet 7 Display Wi Fi 8 Gb Includes Special Offers Magenta,0.995260663507109,4.530805687203792,211,0.933649289099526,Great productThe sales people are really nice and knowledgeable to me I will come back again,951.4691943127963,"['used:computers accessories', 'used:tablets']"
Brand Name Voyage E Reader 6 High Resolution Display 300 Ppi With Adaptive Built In Light Pagepress Sensors Wi Fi Includes Special Offers,0.9879032258064516,4.778225806451613,248,0.9879032258064516,Easy to HoldMuch better than my original brand name. Lighter and easier to read. The old brand name served me well and I won't retire it but it;s newer version is good.,1170.6653225806451,['office']
