summary_index,product,categories,avg_sentiment,avg_rating,rating_count,avg_doRecommend,sample_feedback,rank
0,9W Powerfast Official Oem Usb Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,5.0,1,1.0,AwesomeAlexa is the greatest product ever I use it around the house all of the time,5.0
1,9W Powerfast Official Oem Usb Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders 9W Powerfast Official Oem Usb Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.685714285714286,35,1.0,"I find new uses dailyI love my Alexa! Much simpler to set up than I expected, she was connected to my WiFi in under 3 minutes. She's yet failed to understand my request. Our next step is to get Ethernet-controlled outlets for lights, etc., so that Alexa can control those for us.",164.0
2,All New Pocketbook Touch Hd 3 E Reader Black 6 Glare Free Touchscreen Display Wi Fi Includes Special Offers,['accessories'],0.9339622641509434,4.429245283018868,212,0.8490566037735849,"Works good but, you can purchase a charger with same ...Works good but, you can purchase a charger with same or better specs. on Target MUCH cheaper. I purchased a 5 port 30 watt charger for about 1/2 of the cost of this.",876.9905660377358
3,Brand Name Dx Leather Cover Black Fits 9 7 Display Latest And 2Nd Generation Brand Name Dxs,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.777777777777778,9,1.0,Purchased the Echo as a gift and they love it.Purchased the Echo as a bridal shower gift. My niece and her fianc are still learning about all it can do but already reported back to me that they love it. I was told it is the most favorite gift they received.,43.0
4,Brand Name Keyboard Brand Name Keyboard,"['electronics', 'ereaders', 'accessories', '']",1.0,4.5,2,1.0,"I recieved it today!I have had the brand name Keyboard with it's lighted cover and now I have the new brand name with lighted cover. I will briefly compare them and then list the pros and cons of this cover.In comparison:-The brand name keyboard in the cover is much heavier than the new brand name in it's cover. The new case does a much better job of securing the brand name as well, it is no longer hinged only on one edge, but instead it is form fit inside of a rigid rubber shell that attaches to the back of the new brand name-The lighting is about the same between both cases, but where the old case lit the screen from the top right corner, the new case lights the screen from the top middle.-I feel like the old light mechanism was more durable. The light bar on this cover is made out of very stiff, thin plastic instead of the thick rubbery plastic that contained the light on the old cover. It also hinges open instead of pulling out of the case, and the hinge feels subpar.-The light on the new case is less angled and tends to get in my eyes more when reading than the old brand name keyboard case did.All in all I still like the new case. It fits the new brand name very well and does not increase the size or weight very much. The leather is somewhat thin but not horribly so and it looks sleek on the brand name. I will be keeping this case.Pros:Compact case that looks very sleekTight and secure fitUses the brand name's batteries so no additional power is needed.Provides adequate lighting across the entire screen.Cons:Lightbar hinge seems very cheap.Since I only received this today, I cannot yet evaluate the additional drain that this case will place on the brand name's battery.Read more",9.0
5,Brand Name Keyboard Brand Name Keyboard,['electronics'],1.0,4.5,7,1.0,"Worth the money. Not perfect, but very very good for start to finish novels in good lightThe brand name is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The brand name is incredibly light and thin. I can hold it in one hand easily. The page turn buttons are conveniently located. Page-turns aren't instant, but they're probably quicker than turning a physical page in a printed book (there are just a lot more page-turns unless you choose a small font). The contrast is better than other ereaders I've seen. There is zero eye strain in good light. My eyesight isn't the greatest and I like being able to increase the font size and read without glasses. I love being able to browse the brand name store and read samples before deciding to purchase. The experimental browser is surprisingly usable, but isn't great. It is useful for browsing wikipedia and blogs. The biggest drawback to the browser is the awkward pointer navigation, using the 5-way pad. It syncs your furthest read page over the internet so you can pick up where you left off using your iPhone or iPad.The so-so:The brand name store could use more categories and sorting options. You can't sort by top rated, and there is no category for alternate histories, for example. Finding a very-specific type of fiction relies on keyword searches, which don't do a great job. The wifi sometimes doesn't connect before it times-out.Read more",31.5
6,Brand Name Oasis E Reader With Leather Charging Cover Black 6 High Resolution Display 300 Ppi Wi Fi Includes Special Offers,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",0.6666666666666666,3.8333333333333335,6,0.8333333333333334,"Affordable tablet with some drawbacksA nice size with many perks, like a crisp screen & fun vibrant colored outer shell. However the pop up ads are annoying.",15.333333333333334
7,Brand Name Oasis E Reader With Leather Charging Cover Merlot 6 High Resolution Display 300 Ppi Wi Fi Includes Special Offers,"['ereaders', 'computers & tablets']",0.9701492537313433,4.611940298507463,67,0.9402985074626866,Works GreatVery lightweight and portable with excellent battery life.,299.7761194029851
8,Brand Name Paperwhite Brand Name Paperwhite,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",1.0,4.888888888888889,9,1.0,"Great e-readerThis is my 2 nd brand name. I bought this because of the lighting option. It is great product, but I think little bit over priced. It runs perfectly for my need.",44.0
9,Brand Name Paperwhite E Reader White 6 High Resolution Display 300 Ppi With Built In Light Wi Fi Includes Special Offers,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",1.0,4.533333333333333,30,0.9666666666666667,Great readerI purchased this for my son overseas as he had broken the screen on his last one. When he opened it he was amazed at the size and weight of this one. He also was very elated that all his books that he purchased immediately downloaded to the new one with his bookmarks in place. All in all a great purchase from an excellent company.,136.0
